CALL ID,Call_Date,Product,Resolved_Ontime,Service,Support_Rep,Minutes_On_Phone,Severity,Failure_Type,Customer_Type,Customer Sat Rating,TTA,Vendor
STRING,DATE,STRING,STRING,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING,FLOAT,STRING
1,12/31/2012,Savings and Money Market,Yes,Banking Services,Brian Locke,38,Medium,Chat,Commercial,Acceptable,4,Telesynch
2,12/31/2012,Certificate of Deposit,Yes,Banking Services,Kumar Prasad,16,Medium,Chat,Reseller,Poor,6,Telesynch
3,12/31/2012,Variable Annuities,Yes,Investment Services,Cindy Yu,57,Medium,Chat,Commercial,Poor,19,Telesynch
4,12/31/2012,Silver Plus Card,Yes,Credit Services,Vamsi Haji,45,Medium,Chat,Direct,Poor,18,Telesynch
5,12/31/2012,Savings and Money Market,No,Banking Services,Sheila Straton,31,Medium,Chat,Reseller,Poor,12,Telesynch
6,12/31/2012,Variable Annuities,Yes,Investment Services,Kumar Prasad,54,Medium,Chat,Reseller,Poor,20,Telesynch
7,12/31/2012,Certificate of Deposit,Yes,Banking Services,Bill Jones,56,Low,Chat,Reseller,Poor,20,Telesynch
8,12/31/2012,Silver Plus Card,Yes,Credit Services,Ali Hasem,9,Medium,Chat,Direct,Poor,19,Telesynch
9,1/1/2013,Securities Brokerage,Yes,Investment Services,Bill Jones,40,Low,Chat,Government,Poor,14,Telesynch
10,1/1/2013,Securities Brokerage,No,Investment Services,Bill Jones,18,Medium,Phone,Commercial,Poor,16,Telesynch
11,1/2/2013,Checking Accounts,Yes,Banking Services,Bill Jones,59,High,Phone,Reseller,Poor,16,Telesynch
12,1/2/2013,Checking Accounts,Yes,Banking Services,Vamsi Haji,57,High,Chat,Institutional,Poor,10,Telesynch
13,1/2/2013,Infinite Gold Card,No,Credit Services,Vamsi Haji,39,Low,Phone,Reseller,Poor,6,Telesynch
14,1/2/2013,Infinite Gold Card,No,Credit Services,Brian Locke,51,Low,Chat,Government,Poor,13,Telesynch
15,1/2/2013,Checking Accounts,Yes,Banking Services,Bill Jones,32,Medium,Chat,Commercial,Poor,17,Telesynch
16,1/2/2013,Mutual Funds,Yes,Investment Services,Bill Jones,36,Low,Chat,Commercial,Poor,19,Telesynch
17,1/2/2013,Variable Annuities,No,Investment Services,Brad Stein,57,Medium,Chat,Government,Poor,19,Telesynch
18,1/2/2013,Silver Plus Card,No,Credit Services,Bill Jones,53,Low,Chat,Government,Poor,6,Telesynch
19,1/2/2013,Variable Annuities,No,Investment Services,Brian Locke,48,Low,Chat,Commercial,Poor,18,Telesynch
20,1/2/2013,Silver Plus Card,No,Credit Services,Brad Stein,41,Medium,Chat,Commercial,Poor,6,Telesynch
21,1/2/2013,Checking Accounts,No,Banking Services,Sheila Straton,12,Low,Phone,Direct,Poor,3,Telesynch
22,1/2/2013,Checking Accounts,Yes,Banking Services,Vamsi Haji,35,Medium,Phone,Institutional,Poor,10,Telesynch
23,1/2/2013,Infinite Gold Card,No,Credit Services,Brian Locke,32,Low,Chat,Direct,Poor,1,Telesynch
